,college,name,draft_rank,draft_year
648,University of Kentucky,Doron Lamb,42,2012
649,University of Virginia,Mike Scott,43,2012
650,University of Missouri,Kim English,44,2012
651,Louisiana State University,Justin Hamilton,45,2012
652,University of Kentucky,Darius Miller,46,2012
653,Tennessee Technological University,Kevin Murphy,47,2012
654,Norfolk State University,Kyle O'Quinn,49,2012
655,Syracuse University,Kris Joseph,51,2012
656,Marquette University,Darius Johnson-Odom,55,2012
657,Purdue University,Robbie Hummel,58,2012
658,University of Missouri,Marcus Denmon,59,2012
659,Gonzaga University,Robert Sacre,60,2012
660,"University of Nevada, Las Vegas",Anthony Bennett,1,2013
661,Indiana University,Victor Oladipo,2,2013
662,Georgetown University,Otto Porter,3,2013
663,Indiana University,Cody Zeller,4,2013
664,University of Maryland,Alex Len,5,2013
665,University of Kentucky,Nerlens Noel,6,2013
666,University of Kansas,Ben McLemore,7,2013
667,University of Georgia,Kentavious Caldwell-Pope,8,2013
668,University of Michigan,Trey Burke,9,2013
669,Lehigh University,C.J. McCollum,10,2013
670,Syracuse University,Michael Carter-Williams,11,2013
671,University of Pittsburgh,Steven Adams,12,2013
672,Gonzaga University,Kelly Olynyk,13,2013
673,"University of California, Los Angeles",Shabazz Muhammad,14,2013
674,University of Miami,Shane Larkin,18,2013
675,University of New Mexico,Tony Snell,20,2013
676,University of Louisville,Gorgui Dieng,21,2013
677,Duke University,Mason Plumlee,22,2013
678,University of Arizona,Solomon Hill,23,2013
679,University of Michigan,Tim Hardaway,24,2013
680,University of North Carolina,Reggie Bullock,25,2013
681,University of Colorado,Andre Roberson,26,2013
682,University of Kentucky,Archie Goodwin,29,2013
683,University of California,Allen Crabbe,31,2013
684,Arizona State University,Carrick Felix,33,2013
685,Murray State University,Isaiah Canaan,34,2013
686,Georgia Institute of Technology,Glen Rice,35,2013
687,University of Detroit Mercy,Ray McCallum,36,2013
688,University of North Texas,Tony Mitchell,37,2013
689,South Dakota State University,Nate Wolters,38,2013
690,University of Kansas,Jeff Withey,39,2013
691,University of Arizona,Grant Jerrett,40,2013
692,San Diego State University,Jamaal Franklin,41,2013
693,Baylor University,Pierre Jackson,42,2013
694,Providence College,Ricky Ledo,43,2013
695,Bucknell University,Mike Muscala,44,2013
696,Virginia Polytechnic Institute and State University,Erick Green,46,2013
697,Duke University,Ryan Kelly,48,2013
698,University of Florida,Erik Murphy,49,2013
