,link,name,draft_rank,draft_year,seasons,per
286,/players/w/waltobi01.html,Bill Walton,1.0,1974.0,10.0,12.4
287,/players/b/barnema01.html,Marvin Barnes,2.0,1974.0,6.0,12.4
288,/players/b/burleto01.html,Tom Burleson,3.0,1974.0,7.0,12.4
289,/players/s/shumajo01.html,John Shumate,4.0,1974.0,5.0,12.4
290,/players/j/jonesbo01.html,Bobby Jones,5.0,1974.0,12.0,9.7
291,/players/j/jonesbo02.html,Bobby Jones,37.0,2006.0,2.0,12.4
292,/players/w/wedmasc01.html,Scott Wedman,6.0,1974.0,13.0,12.4
293,/players/h/hendeto01.html,Tom Henderson,7.0,1974.0,9.0,12.4
294,/players/r/russeca02.html,Campy Russell,8.0,1974.0,9.0,12.4
295,/players/m/mcmilto01.html,Tom McMillen,9.0,1974.0,11.0,12.4
296,/players/s/sojoumi01.html,Mike Sojourner,10.0,1974.0,3.0,12.4
297,/players/w/wilkeja01.html,Jamaal Wilkes,11.0,1974.0,12.0,12.4
298,/players/w/wintebr01.html,Brian Winters,12.0,1974.0,9.0,12.4
299,/players/e/elmorle01.html,Len Elmore,13.0,1974.0,10.0,12.4
300,/players/l/lucasma01.html,Maurice Lucas,14.0,1974.0,14.0,12.4
301,/players/e/eberhal01.html,Al Eberhard,15.0,1974.0,4.0,12.4
302,/players/p/pondecl01.html,Cliff Pondexter,16.0,1974.0,3.0,12.4
303,/players/m/mcdongl01.html,Glenn McDonald,17.0,1974.0,3.0,12.4
304,/players/b/brokaga01.html,Gary Brokaw,18.0,1974.0,4.0,12.4
305,/players/s/smithdo02.html,Don Smith,19.0,1974.0,1.0,12.4
306,/players/v/vanbrja01.html,Jan Van Breda Kolff,20.0,1974.0,9.0,12.4
307,/players/k/knighbi01.html,Billy Knight,21.0,1974.0,11.0,12.4
308,/players/r/robintr01.html,Truck Robinson,22.0,1974.0,11.0,12.4
309,/players/b/bailegu01.html,Gus Bailey,23.0,1974.0,5.0,12.4
310,/players/k/kosmale01.html,Len Kosmalski,24.0,1974.0,2.0,12.4
311,/players/d/drewjo01.html,John Drew,25.0,1974.0,11.0,12.4
312,/players/b/benbole01.html,Leon Benbow,27.0,1974.0,2.0,12.4
313,/players/j/jamesaa01.html,Aaron James,28.0,1974.0,5.0,12.4
314,/players/s/smithph01.html,Phil Smith,29.0,1974.0,9.0,12.4
315,/players/d/duvalde01.html,Dennis DuVal,30.0,1974.0,2.0,12.4
316,/players/s/saundfr01.html,Fred Saunders,31.0,1974.0,4.0,12.4
317,/players/d/darkje01.html,Jesse Dark,32.0,1974.0,1.0,12.4
318,/players/m/moneyer01.html,Eric Money,33.0,1974.0,6.0,12.4
319,/players/l/lumpkph01.html,Phil Lumpkin,34.0,1974.0,2.0,12.4
320,/players/n/normaco01.html,Connie Norman,37.0,1974.0,3.0,12.4
321,/players/w/walkefo01.html,Foots Walker,38.0,1974.0,10.0,12.4
322,/players/r/restake01.html,Kevin Restani,39.0,1974.0,8.0,12.4
323,/players/g/gervige01.html,George Gervin,40.0,1974.0,14.0,12.4
324,/players/e/elstoda01.html,Darrell Elston,43.0,1974.0,2.0,12.4
325,/players/s/skinnta01.html,Tal Skinner,44.0,1974.0,2.0,12.4
326,/players/h/hugheki01.html,Kim Hughes,45.0,1974.0,6.0,12.4
327,/players/k/kendrfr01.html,Frank Kendrick,47.0,1974.0,1.0,12.4
328,/players/b/bradlji01.html,Jim Bradley,48.0,1974.0,,12.4
329,/players/w/williea01.html,Earl Williams,49.0,1974.0,4.0,12.4
330,/players/w/wilsobo03.html,Bobby Wilson,52.0,1974.0,4.0,12.4
331,/players/j/johnsmi01.html,Mickey Johnson,56.0,1974.0,12.0,12.4
332,/players/f/fosteja01.html,James Foster,57.0,1974.0,,12.4
333,/players/b/battsll01.html,Lloyd Batts,60.0,1974.0,,12.4
334,/players/h/harribe01.html,Bernie Harris,63.0,1974.0,1.0,12.4
335,/players/w/washist01.html,Stan Washington,66.0,1974.0,1.0,12.4
336,/players/e/ebronro01.html,Roy Ebron,68.0,1974.0,,12.4
337,/players/b/billili01.html,Lionel Billingy,72.0,1974.0,,12.4
338,/players/w/wellsow01.html,Owen Wells,77.0,1974.0,1.0,12.4
339,/players/t/tolsode01.html,Dean Tolson,80.0,1974.0,3.0,12.4
340,/players/s/searced01.html,Ed Searcy,82.0,1974.0,1.0,12.4
