,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
380,Louisiana Tech University,47,2006,78.25,Paul Millsap,105.5,258,85.5
381,University of California,49,2006,,Leon Powe,,,
382,"University of California, Los Angeles",50,2006,84.0,Ryan Hollins,110.0,245,86.0
383,University of Miami,52,2006,,Guillermo Diaz,,,
384,University of Arizona,54,2006,,Hassan Adams,,,
385,Iowa State University,60,2006,71.25,Will Blalock,96.5,194,78.0
386,Ohio State University,1,2007,83.0,Greg Oden,112.0,257,88.25
387,University of Texas at Austin,2,2007,81.0,Kevin Durant,110.0,215,88.75
388,University of Florida,3,2007,80.75,Al Horford,107.0,246,84.75
389,Ohio State University,4,2007,,Mike Conley,,,
390,Georgetown University,5,2007,79.75,Jeff Green,103.0,228,85.25
391,University of Florida,7,2007,78.75,Corey Brewer,103.0,185,80.25
392,University of North Carolina,8,2007,80.75,Brandan Wright,108.5,200,87.75
393,University of Florida,9,2007,82.5,Joakim Noah,106.5,223,85.25
394,University of Washington,10,2007,82.5,Spencer Hawes,110.0,244,84.5
395,Texas A&M University,11,2007,74.0,Acie Law,98.0,186,78.5
396,Georgia Institute of Technology,12,2007,77.75,Thaddeus Young,106.0,210,83.5
397,University of Kansas,13,2007,78.5,Julian Wright,108.0,211,86.25
398,Florida State University,14,2007,77.75,Al Thornton,104.0,221,85.0
399,Eastern Washington University,15,2007,75.75,Rodney Stuckey,100.5,207,79.25
400,University of Southern California,16,2007,77.0,Nick Young,100.5,206,84.0
401,Boston College,17,2007,,Sean Williams,,,
402,Georgia Institute of Technology,19,2007,75.0,Javaris Crittenton,98.0,194,77.5
403,Colorado State University,20,2007,82.75,Jason Smith,106.0,233,82.75
404,Ohio State University,21,2007,75.75,Daequan Cook,101.5,203,80.25
405,Boston College,22,2007,77.75,Jared Dudley,102.0,219,79.0
406,DePaul University,23,2007,,Wilson Chandler,,,
407,Rice University,25,2007,76.75,Morris Almond,102.5,214,82.0
408,University of Oregon,26,2007,70.5,Aaron Brooks,94.0,161,76.0
409,"University of California, Los Angeles",27,2007,,Arron Afflalo,,,
410,University of Wisconsin,29,2007,,Alando Tucker,,,
411,Purdue University,31,2007,79.75,Carl Landry,102.5,248,83.0
412,University of Southern California,32,2007,,Gabe Pruitt,,,
413,University of Arizona,33,2007,,Marcus Williams,,,
414,"University of Nevada, Reno",34,2007,,Nick Fazekas,,,
415,Louisiana State University,35,2007,,Glen Davis,,,
416,University of Alabama,36,2007,81.5,Jermareo Davidson,109.5,230,88.0
417,Duke University,37,2007,80.75,Josh McRoberts,106.5,240,85.0
